zip_code,latitude,longitude,distance,duration
22539,37.861652,-76.287024,137 mi,2 hours 34 mins
22542,38.302044,-77.900928,74.9 mi,1 hour 26 mins
22546,37.949726,-77.437624,78.6 mi,1 hour 17 mins
22551,38.178874,-77.697837,69.4 mi,1 hour 17 mins
22553,38.275271999999994,-77.62609,58.1 mi,1 hour 5 mins
22554,38.432776,-77.395156,40.0 mi,46 mins
22556,38.502596000000004,-77.495303,46.1 mi,56 mins
22560,37.913585999999995,-76.977738,101 mi,1 hour 52 mins
22567,38.238659,-77.926338,77.3 mi,1 hour 27 mins
22572,37.963649,-76.771778,105 mi,1 hour 55 mins
22576,37.690607,-76.42689,139 mi,2 hours 35 mins
22578,37.641205,-76.377794,143 mi,2 hours 36 mins
22580,38.126492,-77.441282,70.0 mi,1 hour 15 mins
22601,39.168183,-78.169274,76.2 mi,1 hour 25 mins
22602,39.151073,-78.277218,93.0 mi,1 hour 33 mins
22603,39.290399,-78.193323,83.3 mi,1 hour 36 mins
22610,38.818464,-78.27854,80.1 mi,1 hour 27 mins
22611,39.175319,-77.97529,65.4 mi,1 hour 8 mins
22620,39.065415,-78.032456,67.0 mi,1 hour 9 mins
22623,38.8535,-78.1355,67.8 mi,1 hour 16 mins
22624,39.271646000000004,-78.099894,77.9 mi,1 hour 25 mins
22625,39.380196,-78.306115,92.6 mi,1 hour 41 mins
22627,38.765121,-78.083626,64.9 mi,1 hour 13 mins
22630,38.922447999999996,-78.172554,68.0 mi,1 hour 10 mins
22637,39.253719,-78.348104,90.1 mi,1 hour 40 mins
22639,38.811261,-78.020928,60.4 mi,1 hour 8 mins
22640,38.811679999999996,-78.125185,67.8 mi,1 hour 20 mins
22641,39.073508,-78.386752,86.3 mi,1 hour 23 mins
22642,38.904856,-78.065006,62.4 mi,1 hour 4 mins
22643,38.896094,-78.004455,58.3 mi,59 mins
22644,38.963719,-78.53644,95.3 mi,1 hour 40 mins
22645,39.023552,-78.269751,78.6 mi,1 hour 16 mins
22649,39.002052,-78.257026,75.1 mi,1 hour 17 mins
22650,38.759252000000004,-78.36151,86.3 mi,1 hour 35 mins
22652,38.845832,-78.434596,91.5 mi,1 hour 42 mins
22654,39.063737,-78.450477,91.5 mi,1 hour 32 mins
22655,39.048235999999996,-78.238658,82.0 mi,1 hour 22 mins
22656,39.213555,-78.08284,73.0 mi,1 hour 16 mins
22657,39.009209999999996,-78.35077,79.4 mi,1 hour 18 mins
22660,38.954501,-78.431139,86.1 mi,1 hour 23 mins
22663,39.056207,-78.114527,72.6 mi,1 hour 15 mins
22664,38.891647,-78.53407,95.4 mi,1 hour 32 mins
22701,38.43995,-78.010048,71.9 mi,1 hour 19 mins
22709,38.306596,-78.252223,93.7 mi,1 hour 44 mins
22711,38.470124,-78.283448,89.0 mi,1 hour 39 mins
22712,38.549229,-77.75582,59.9 mi,1 hour 10 mins
22713,38.539248,-78.141492,74.5 mi,1 hour 32 mins
22714,38.519933,-77.88393,64.7 mi,1 hour 16 mins
22715,38.412038,-78.170982,82.6 mi,1 hour 30 mins
22716,38.621137,-78.099233,66.5 mi,1 hour 20 mins
22718,38.469332,-77.814684,64.1 mi,1 hour 14 mins
22719,38.509532,-78.26432,85.8 mi,1 hour 40 mins
22720,38.475970000000004,-77.641952,56.2 mi,1 hour 10 mins
22722,38.460708000000004,-78.233546,84.4 mi,1 hour 33 mins
22723,38.34236,-78.396386,98.2 mi,1 hour 51 mins
22724,38.62973,-77.905724,58.9 mi,1 hour 9 mins
22725,38.442694,-78.138404,79.7 mi,1 hour 26 mins
22726,38.399344,-77.8145,71.1 mi,1 hour 21 mins
22727,38.394258,-78.323079,92.0 mi,1 hour 46 mins
22728,38.576878,-77.679954,54.5 mi,1 hour 6 mins
22729,38.36934,-78.01639,77.4 mi,1 hour 28 mins
22730,38.358245000000004,-78.170013,85.8 mi,1 hour 35 mins
22731,38.355484000000004,-78.27508,89.1 mi,1 hour 37 mins
22732,38.314479,-78.198788,89.0 mi,1 hour 38 mins
22733,38.33335,-78.041879,81.2 mi,1 hour 31 mins
22734,38.528158,-77.823134,59.4 mi,1 hour 9 mins
22735,38.483014000000004,-78.165428,81.8 mi,1 hour 30 mins
22736,38.393957,-77.695736,69.7 mi,1 hour 25 mins
22737,38.589828999999995,-78.008185,62.9 mi,1 hour 15 mins
22738,38.27541,-78.252938,95.0 mi,1 hour 44 mins
22740,38.635333,-78.254739,76.5 mi,1 hour 32 mins
22741,38.441348,-77.866682,69.9 mi,1 hour 21 mins
22742,38.460762,-77.71565,64.7 mi,1 hour 11 mins
22743,38.54204,-78.377953,95.6 mi,2 hours 1 min
22747,38.730779999999996,-78.171971,70.0 mi,1 hour 24 mins
22749,38.619248999999996,-78.183596,77.2 mi,1 hour 29 mins
22801,38.41421,-78.892628,133 mi,2 hours 7 mins
22802,38.486284,-78.850636,128 mi,2 hours 2 mins
22810,38.822486,-78.78706,112 mi,1 hour 56 mins
22811,38.80098,-78.981802,138 mi,2 hours 20 mins
22812,38.371346,-79.038014,145 mi,2 hours 22 mins
22815,38.651072,-78.796701,120 mi,1 hour 55 mins
22820,38.720286,-79.017037,143 mi,2 hours 37 mins
22821,38.476685,-79.072383,143 mi,2 hours 25 mins
22824,38.840016,-78.642036,102 mi,1 hour 37 mins
22827,38.35895,-78.615034,114 mi,2 hours 10 mins
22830,38.656596,-78.997434,131 mi,2 hours 10 mins
22831,38.557546,-79.074899,145 mi,2 hours 23 mins
22832,38.4421,-78.766767,133 mi,2 hours 8 mins
22834,38.562187,-78.885091,129 mi,2 hours 9 mins
22835,38.693469,-78.480224,93.3 mi,1 hour 42 mins
22840,38.379778,-78.751812,139 mi,2 hours 17 mins
22841,38.335456,-78.896883,140 mi,2 hours 11 mins
22842,38.789202,-78.698054,108 mi,1 hour 47 mins
22843,38.370049,-79.173194,154 mi,2 hours 33 mins
22844,38.632357,-78.663675,114 mi,1 hour 49 mins
22845,38.782664000000004,-78.816188,118 mi,2 hours 3 mins
22846,38.365463,-78.790832,135 mi,2 hours 9 mins
22847,38.725352,-78.716079,109 mi,1 hour 44 mins
22849,38.526899,-78.603117,107 mi,1 hour 58 mins
