state,zip_code,zip_url,latitude,longitude,population,house_value,household_income
VA,22031,https://www.zip-codes.com/zip-code/22031/zip-code-22031.asp,38.858907,-77.261358,38109,531800,108632
VA,22032,https://www.zip-codes.com/zip-code/22032/zip-code-22032.asp,38.820952,-77.288944,29604,586300,144628
VA,22033,https://www.zip-codes.com/zip-code/22033/zip-code-22033.asp,38.879366,-77.376768,38918,485700,113188
VA,22039,https://www.zip-codes.com/zip-code/22039/zip-code-22039.asp,38.754931,-77.310158,18577,814300,210000
VA,22041,https://www.zip-codes.com/zip-code/22041/zip-code-22041.asp,38.851211,-77.14477,28117,387600,69959
VA,22042,https://www.zip-codes.com/zip-code/22042/zip-code-22042.asp,38.862956,-77.193872,35156,498300,106429
VA,22043,https://www.zip-codes.com/zip-code/22043/zip-code-22043.asp,38.899288,-77.191356,24755,631000,117182
VA,22044,https://www.zip-codes.com/zip-code/22044/zip-code-22044.asp,38.86147800000000,-77.155248,13992,561800,81491
VA,22046,https://www.zip-codes.com/zip-code/22046/zip-code-22046.asp,38.88828,-77.18096,17909,711300,137913
VA,22060,https://www.zip-codes.com/zip-code/22060/zip-code-22060.asp,38.710648,-77.158488,9872,600600,83047
VA,22066,https://www.zip-codes.com/zip-code/22066/zip-code-22066.asp,39.004448,-77.308098,18500,1085500,223434
VA,22079,https://www.zip-codes.com/zip-code/22079/zip-code-22079.asp,38.6765,-77.206884,35981,472100,113097
VA,22101,https://www.zip-codes.com/zip-code/22101/zip-code-22101.asp,38.935853,-77.162141,31164,999700,195631
VA,22102,https://www.zip-codes.com/zip-code/22102/zip-code-22102.asp,38.959942,-77.224902,30843,882800,115099
VA,22124,https://www.zip-codes.com/zip-code/22124/zip-code-22124.asp,38.893116,-77.328886,17472,758100,161333
VA,22134,https://www.zip-codes.com/zip-code/22134/zip-code-22134.asp,38.563766,-77.422682,4751,204200,63190
VA,22150,https://www.zip-codes.com/zip-code/22150/zip-code-22150.asp,38.76113,-77.18604600000000,27317,451600,99566
VA,22151,https://www.zip-codes.com/zip-code/22151/zip-code-22151.asp,38.801644,-77.210894,17718,471900,122933
VA,22152,https://www.zip-codes.com/zip-code/22152/zip-code-22152.asp,38.776093000000000,-77.23345,28234,466200,127198
VA,22153,https://www.zip-codes.com/zip-code/22153/zip-code-22153.asp,38.745468,-77.232529,32390,513500,139757
VA,22172,https://www.zip-codes.com/zip-code/22172/zip-code-22172.asp,38.563734,-77.356151,10819,418000,70822
VA,22180,https://www.zip-codes.com/zip-code/22180/zip-code-22180.asp,38.897426,-77.252868,28018,689000,147324
VA,22181,https://www.zip-codes.com/zip-code/22181/zip-code-22181.asp,38.904608,-77.295559,15232,762600,167887
VA,22182,https://www.zip-codes.com/zip-code/22182/zip-code-22182.asp,38.936148,-77.26759800000000,28995,856400,188918
VA,22191,https://www.zip-codes.com/zip-code/22191/zip-code-22191.asp,38.62334600000000,-77.26364000000000,77650,297900,84344
VA,22192,https://www.zip-codes.com/zip-code/22192/zip-code-22192.asp,38.676479,-77.31705,58945,336800,100585
VA,22193,https://www.zip-codes.com/zip-code/22193/zip-code-22193.asp,38.642531,-77.348454,80634,316900,96661
VA,22201,https://www.zip-codes.com/zip-code/22201/zip-code-22201.asp,38.886594,-77.094726,38999,671100,125363
VA,22202,https://www.zip-codes.com/zip-code/22202/zip-code-22202.asp,38.859829,-77.053278,28825,645800,110817
VA,22203,https://www.zip-codes.com/zip-code/22203/zip-code-22203.asp,38.874993,-77.122609,26749,589700,103654
VA,22204,https://www.zip-codes.com/zip-code/22204/zip-code-22204.asp,38.861504,-77.100112,54732,486500,84525
VA,22205,https://www.zip-codes.com/zip-code/22205/zip-code-22205.asp,38.882248,-77.141056,17558,813900,180781
VA,22206,https://www.zip-codes.com/zip-code/22206/zip-code-22206.asp,38.840858000000000,-77.08902000000000,20936,429300,107096
VA,22207,https://www.zip-codes.com/zip-code/22207/zip-code-22207.asp,38.909812,-77.12016,31678,924300,183761
VA,22209,https://www.zip-codes.com/zip-code/22209/zip-code-22209.asp,38.89291400000000,-77.072571,15798,658800,115292
VA,22211,https://www.zip-codes.com/zip-code/22211/zip-code-22211.asp,38.876997,-77.070852,3529,0,114375
VA,22213,https://www.zip-codes.com/zip-code/22213/zip-code-22213.asp,38.895782000000000,-77.16256800000000,3581,801300,170795
